 LegendreIndex,FromIndex,ToIndex,Value
3,25,23, 5.2930639E-04
3,25,24,-4.4472844E-04
3,25,25, 2.1719979E-03
4,2,1,-3.1275734E-06
4,2,2, 3.1275734E-06
4,3,2,-3.1651657E-06
4,3,3, 3.1651656E-06
4,4,3,-3.1675008E-06
4,4,4, 3.1675009E-06
4,5,4,-3.1662295E-06
4,5,5, 3.1662393E-06
4,6,5,-3.1690013E-06
4,6,6, 3.1690464E-06
4,7,6,-3.1781813E-06
4,7,7, 3.1783226E-06
4,8,7,-1.9504352E-06
4,8,8, 1.9457777E-06
4,9,8,-3.1314959E-07
4,9,9, 3.0660906E-07
4,10,9,-3.3213055E-07
4,10,10, 3.1709910E-07
4,11,10, 2.4597477E-07
4,11,11,-2.7812577E-07
4,12,11, 2.5054312E-07
4,12,12,-3.2213585E-07
4,13,12,-1.4954851E-06
4,13,13, 1.3400354E-06
4,14,13,-8.9733201E-07
4,14,14, 5.5519475E-07
4,15,14,-8.8299055E-07
4,15,15, 1.4065787E-07
4,16,4, 1.5318918E-13
4,16,5, 6.8938893E-13
4,16,6, 3.1542550E-12
4,16,7, 1.4533085E-11
4,16,8, 6.7228719E-11
4,16,9, 3.1103759E-10
4,16,10, 1.4387946E-09
4,16,11, 6.6369614E-09
4,16,12, 5.9012788E-09
4,16,15,-4.5404639E-07
4,16,16,-1.0167364E-06
4,17,12, 2.0435983E-08
4,17,13, 1.1355779E-07
4,17,14, 4.8095316E-07
4,17,15, 1.8701109E-06
4,17,16, 5.9707775E-06
4,17,17,-4.4351917E-07
4,18,8, 6.6188104E-14
4,18,9, 3.0547208E-13
4,18,10, 1.4130793E-12
4,18,11, 6.5573477E-12
4,18,12, 3.6129646E-11
4,18,13, 1.8821777E-10
4,18,14, 9.0016838E-10
4,18,15, 4.6083923E-09
4,18,16, 2.4920021E-08
4,18,17, 1.5789414E-05
4,18,18, 1.1573712E-05
4,19,9, 5.3796273E-14
4,19,10, 2.4829492E-13
4,19,11, 1.1482384E-12
4,19,12, 4.6721706E-12
4,19,13, 1.1417342E-11
4,19,14, 2.7416551E-11
4,19,15, 7.3006004E-11
4,19,16, 2.8097583E-10
4,19,17, 1.5322707E-07
4,19,18, 2.4379741E-05
4,19,19, 1.3713743E-04
4,20,5, 4.9997922E-14
4,20,6, 3.8103369E-13
4,20,7, 1.5174569E-12
4,20,8, 5.8554989E-12
4,20,9, 2.4735065E-11
4,20,10, 1.0946072E-10
4,20,11, 4.9507548E-10
4,20,12, 2.0684652E-09
4,20,13, 8.6314183E-09
4,20,14, 3.4998598E-08
4,20,15, 1.1711567E-07
4,20,16, 3.3843696E-07
4,20,17, 9.0032197E-07
4,20,18, 2.9613300E-07
4,20,19,-1.2122634E-05
4,20,20,-4.7040152E-04
4,21,5, 1.8078836E-13
4,21,6, 9.6611106E-13
4,21,7, 4.8607380E-12
4,21,8, 2.0197466E-11
4,21,9, 8.7968763E-11
4,21,10, 3.9318061E-10
4,21,11, 1.6846314E-09
4,21,12, 6.1007761E-09
4,21,13, 2.1714680E-08
4,21,14, 7.8533393E-08
4,21,15, 2.7889550E-07
4,21,16, 1.0317401E-06
4,21,17, 3.8855813E-06
4,21,18, 1.3344651E-05
4,21,19, 2.2987254E-05
4,21,20,-4.1118063E-04
4,21,21, 5.3052362E-04
4,22,3, 7.8520759E-14
4,22,4, 3.4509803E-13
4,22,5, 1.3148072E-12
4,22,6, 4.4465833E-12
4,22,7, 1.4676779E-11
4,22,8, 4.3523552E-11
4,22,9, 1.3775352E-10
4,22,10, 4.3662088E-10
4,22,11, 1.3829737E-09
4,22,12, 4.3739151E-09
4,22,13, 1.3851115E-08
4,22,14, 4.3868866E-08
4,22,15, 1.3890593E-07
4,22,16, 4.5319198E-07
4,22,17, 1.8746629E-06
4,22,18, 6.2668225E-06
4,22,19, 2.2258259E-05
4,22,20, 5.0122138E-05
4,22,21, 6.7657478E-07
4,22,22, 1.9074446E-04
4,23,3, 6.1962999E-14
4,23,4, 2.8760892E-13
4,23,5, 1.3327274E-12
4,23,6, 5.2823326E-12
4,23,7, 1.7536407E-11
4,23,8, 5.5622274E-11
4,23,9, 1.7120212E-10
4,23,10, 5.4287434E-10
4,23,11, 1.7188558E-09
4,23,12, 5.4358227E-09
4,23,13, 1.7182929E-08
4,23,14, 5.4499395E-08
4,23,15, 1.7268799E-07
4,23,16, 5.6503894E-07
4,23,17, 2.3414102E-06
4,23,18, 7.6589096E-06
4,23,19, 2.1057160E-05
4,23,20, 3.7847348E-05
4,23,21, 3.1197531E-05
4,23,22,-1.3075810E-05
4,23,23, 8.1285397E-04
4,24,3, 5.1486817E-14
4,24,4, 2.3898240E-13
4,24,5, 1.1092559E-12
4,24,6, 5.0561676E-12
4,24,7, 1.7658185E-11
4,24,8, 5.7889205E-11
4,24,9, 1.7742985E-10
4,24,10, 5.6051377E-10
4,24,11, 1.7711162E-09
4,24,12, 5.6001904E-09
4,24,13, 1.7722705E-08
4,24,14, 5.6214700E-08
4,24,15, 1.7796881E-07
4,24,16, 6.0084257E-07
4,24,17, 2.5117349E-06
4,24,18, 8.2001270E-06
4,24,19, 2.1846261E-05
4,24,20, 3.6426955E-05
4,24,21, 2.5969517E-05
4,24,22, 1.1071520E-05
4,24,23, 9.0951076E-05
4,24,24, 2.7504701E-03
4,25,4, 1.6998736E-11
4,25,5, 3.7735119E-11
4,25,6, 1.1220604E-10
4,25,7, 2.6596983E-10
4,25,8, 7.5168050E-10
4,25,9, 1.9640446E-09
4,25,10, 5.4967395E-09
4,25,11, 1.5894120E-08
4,25,12, 4.7128684E-08
4,25,13, 1.4362809E-07
4,25,14, 5.0864952E-07
4,25,15, 1.6123926E-06
4,25,16, 5.5391961E-06
4,25,17, 2.0619913E-05
4,25,18, 7.6515586E-05
4,25,19, 2.2045259E-04
4,25,20, 6.4889535E-04
4,25,21, 1.1106481E-03
4,25,22, 1.3794814E-03
4,25,23, 5.2930639E-04
4,25,24, 3.6978373E-04
4,25,25, 1.9688560E-03
5,1,1,-1.9175075E-08
5,2,1, 3.4968199E-08
5,2,2,-5.3045986E-08
5,3,2, 1.9582118E-08
5,3,3,-3.7606572E-08
5,4,3, 1.9686358E-08
5,4,4,-3.7848968E-08
5,5,4, 2.0776982E-08
5,5,5,-3.8808668E-08
5,6,5, 1.9512625E-08
5,6,6,-3.7461679E-08
5,7,6, 1.9072535E-08
5,7,7,-3.7022038E-08
5,8,7, 1.2386398E-08
5,8,8,-3.0477162E-08
5,9,8, 8.8771839E-09
5,9,9,-2.6135177E-08
5,10,9,-4.5228036E-10
5,10,10,-1.5960758E-08
5,11,10, 1.0678764E-08
5,11,11,-2.4126927E-08
5,12,11, 1.0916520E-08
5,12,12,-2.6666622E-08
5,13,12, 2.4598067E-07
5,13,13,-2.6661242E-07
5,14,13, 9.8768874E-08
5,14,14,-1.2308089E-07
5,15,14, 4.7078882E-08
5,15,15,-7.4157371E-08
5,16,4, 1.5318918E-13
5,16,5, 6.8938893E-13
5,16,6, 3.1542550E-12
5,16,7, 1.4533085E-11
5,16,8, 6.7228719E-11
5,16,9, 3.1103759E-10
5,16,10, 1.4387946E-09
5,16,11, 6.6369614E-09
5,16,12, 5.9012788E-09
5,16,15, 4.8779792E-08
5,16,16,-8.9030752E-08
5,17,12, 2.0435983E-08
5,17,13, 1.1355779E-07
5,17,14, 4.8095316E-07
5,17,15, 1.8701109E-06
5,17,16, 6.0971985E-06
5,17,17, 2.1128110E-06
5,18,8, 6.6188104E-14
5,18,9, 3.0547208E-13
5,18,10, 1.4130793E-12
5,18,11, 6.5573477E-12
5,18,12, 3.6129646E-11
5,18,13, 1.8821777E-10
5,18,14, 9.0016838E-10
5,18,15, 4.6083923E-09
5,18,16, 2.4920021E-08
5,18,17, 1.3968082E-05
5,18,18, 1.5915514E-05
5,19,9, 5.3796273E-14
5,19,10, 2.4829492E-13
5,19,11, 1.1482384E-12
5,19,12, 4.6721706E-12
5,19,13, 1.1417342E-11
5,19,14, 2.7416551E-11
5,19,15, 7.3006004E-11
5,19,16, 2.8097583E-10
5,19,17, 1.5322707E-07
5,19,18, 1.3656157E-05
5,19,19, 4.5665757E-05
5,20,5, 4.9997922E-14
5,20,6, 3.8103369E-13
5,20,7, 1.5174569E-12
5,20,8, 5.8554989E-12
5,20,9, 2.4735065E-11
5,20,10, 1.0946072E-10
5,20,11, 4.9507548E-10
5,20,12, 2.0684652E-09
5,20,13, 8.6314183E-09
5,20,14, 3.4998598E-08
5,20,15, 1.1711567E-07
5,20,16, 3.3843696E-07
5,20,17, 9.0032197E-07
5,20,18, 2.9613300E-07
5,20,19, 7.7271765E-06
5,20,20,-4.8600493E-05
5,21,5, 1.8078836E-13
5,21,6, 9.6611106E-13
5,21,7, 4.8607380E-12
5,21,8, 2.0197466E-11
5,21,9, 8.7968763E-11
5,21,10, 3.9318061E-10
5,21,11, 1.6846314E-09
5,21,12, 6.1007761E-09
5,21,13, 2.1714680E-08
5,21,14, 7.8533393E-08
5,21,15, 2.7889550E-07
5,21,16, 1.0317401E-06
5,21,17, 3.8855813E-06
5,21,18, 1.3344651E-05
5,21,19, 2.2987254E-05
5,21,20, 1.7380214E-04
5,21,21,-7.6129081E-05
5,22,3, 7.8520759E-14
5,22,4, 3.4509803E-13
5,22,5, 1.3148072E-12
5,22,6, 4.4465833E-12
5,22,7, 1.4676779E-11
5,22,8, 4.3523552E-11
5,22,9, 1.3775352E-10
5,22,10, 4.3662088E-10
5,22,11, 1.3829737E-09
5,22,12, 4.3739151E-09
5,22,13, 1.3851115E-08
5,22,14, 4.3868866E-08
5,22,15, 1.3890593E-07
5,22,16, 4.5319198E-07
5,22,17, 1.8746629E-06
5,22,18, 6.2668225E-06
5,22,19, 2.2258259E-05
5,22,20, 5.0122138E-05
5,22,21, 2.8835505E-05
5,22,22, 2.9497547E-04
5,23,3, 6.1962999E-14
5,23,4, 2.8760892E-13
5,23,5, 1.3327274E-12
5,23,6, 5.2823326E-12
5,23,7, 1.7536407E-11
5,23,8, 5.5622274E-11
5,23,9, 1.7120212E-10
5,23,10, 5.4287434E-10
5,23,11, 1.7188558E-09
5,23,12, 5.4358227E-09
5,23,13, 1.7182929E-08
5,23,14, 5.4499395E-08
5,23,15, 1.7268799E-07
5,23,16, 5.6503894E-07
5,23,17, 2.3414102E-06
5,23,18, 7.6589096E-06
5,23,19, 2.1057160E-05
5,23,20, 3.7847348E-05
5,23,21, 3.1197531E-05
5,23,22, 9.6522402E-05
5,23,23, 1.6541173E-04
5,24,3, 5.1486817E-14
5,24,4, 2.3898240E-13
5,24,5, 1.1092559E-12
5,24,6, 5.0561676E-12
5,24,7, 1.7658185E-11
5,24,8, 5.7889205E-11
5,24,9, 1.7742985E-10
5,24,10, 5.6051377E-10
5,24,11, 1.7711162E-09
5,24,12, 5.6001904E-09
5,24,13, 1.7722705E-08
5,24,14, 5.6214700E-08
5,24,15, 1.7796881E-07
5,24,16, 6.0084257E-07
5,24,17, 2.5117349E-06
5,24,18, 8.2001270E-06
5,24,19, 2.1846261E-05
5,24,20, 3.6426955E-05
5,24,21, 2.5969517E-05
5,24,22, 1.1071520E-05
5,24,23,-1.3754720E-04
5,24,24, 1.7377248E-03
5,25,4, 1.6998736E-11
5,25,5, 3.7735119E-11
5,25,6, 1.1220604E-10
5,25,7, 2.6596983E-10
5,25,8, 7.5168050E-10
5,25,9, 1.9640446E-09
5,25,10, 5.4967395E-09
5,25,11, 1.5894120E-08
5,25,12, 4.7128684E-08
5,25,13, 1.4362809E-07
5,25,14, 5.0864952E-07
5,25,15, 1.6123926E-06
5,25,16, 5.5391961E-06
5,25,17, 2.0619913E-05
5,25,18, 7.6515586E-05
5,25,19, 2.2045259E-04
5,25,20, 6.4889535E-04
5,25,21, 1.1106481E-03
5,25,22, 1.3794814E-03
5,25,23, 5.2930639E-04
5,25,24, 3.4401994E-04
5,25,25, 1.5622271E-03
6,2,1, 4.9086546E-09
6,2,2,-4.3863757E-09
6,3,2, 1.8304955E-09
6,3,3,-1.3113517E-09
6,4,3, 1.8308073E-09
6,4,4,-1.3294947E-09
6,5,4, 1.9763553E-09
6,5,5,-1.4691384E-09
6,6,5, 1.8415613E-09
6,6,6,-1.3226624E-09
6,7,6, 1.6983540E-09
6,7,7,-1.2557794E-09
6,8,7, 1.0199369E-09
6,8,8,-9.6026790E-10
6,9,8,-2.7837672E-09
6,9,9, 2.6011122E-09
6,10,9, 4.5802138E-11
6,10,10,-3.5763005E-10
6,11,10,-5.4500197E-10
6,11,11,-4.1398515E-10
6,12,11,-9.0989373E-10
6,12,12, 1.0127327E-09
6,13,12,-5.9622247E-08
6,13,13, 5.8776387E-08
6,14,13, 4.3304267E-08
6,14,14,-4.1554762E-08
6,15,14,-3.7116888E-08
6,15,15, 4.2287764E-08
6,16,4, 1.5318918E-13
6,16,5, 6.8938893E-13
6,16,6, 3.1542550E-12
6,16,7, 1.4533085E-11
6,16,8, 6.7228719E-11
6,16,9, 3.1103759E-10
6,16,10, 1.4387946E-09
6,16,11, 6.6369614E-09
6,16,12, 5.9012788E-09
6,16,15, 8.6480712E-10
6,16,16, 2.1220042E-09
6,17,12, 2.0435983E-08
6,17,13, 1.1355779E-07
6,17,14, 4.8095316E-07
6,17,15, 1.8701109E-06
6,17,16, 6.0310756E-06
6,17,17, 2.2120429E-06
6,18,8, 6.6188104E-14
6,18,9, 3.0547208E-13
6,18,10, 1.4130793E-12
6,18,11, 6.5573477E-12
6,18,12, 3.6129646E-11
6,18,13, 1.8821777E-10
6,18,14, 9.0016838E-10
6,18,15, 4.6083923E-09
6,18,16, 2.4920021E-08
6,18,17, 1.3901619E-05
6,18,18, 1.5734853E-05
6,19,9, 5.3796273E-14
6,19,10, 2.4829492E-13
6,19,11, 1.1482384E-12
6,19,12, 4.6721706E-12
6,19,13, 1.1417342E-11
6,19,14, 2.7416551E-11
6,19,15, 7.3006004E-11
6,19,16, 2.8097583E-10
6,19,17, 1.5322707E-07
6,19,18, 1.4137595E-05
6,19,19, 3.4285319E-05
6,20,5, 4.9997922E-14
6,20,6, 3.8103369E-13
6,20,7, 1.5174569E-12
6,20,8, 5.8554989E-12
6,20,9, 2.4735065E-11
6,20,10, 1.0946072E-10
6,20,11, 4.9507548E-10
6,20,12, 2.0684652E-09
6,20,13, 8.6314183E-09
6,20,14, 3.4998598E-08
6,20,15, 1.1711567E-07
6,20,16, 3.3843696E-07
6,20,17, 9.0032197E-07
6,20,18, 2.9613300E-07
6,20,19, 1.0790975E-05
6,20,20, 4.5819089E-05
6,21,5, 1.8078836E-13
6,21,6, 9.6611106E-13
6,21,7, 4.8607380E-12
6,21,8, 2.0197466E-11
6,21,9, 8.7968763E-11
6,21,10, 3.9318061E-10
6,21,11, 1.6846314E-09
6,21,12, 6.1007761E-09
6,21,13, 2.1714680E-08
6,21,14, 7.8533393E-08
6,21,15, 2.7889550E-07
6,21,16, 1.0317401E-06
6,21,17, 3.8855813E-06
6,21,18, 1.3344651E-05
6,21,19, 2.2987254E-05
6,21,20, 1.0850258E-04
6,21,21,-4.3633158E-05
6,22,3, 7.8520759E-14
6,22,4, 3.4509803E-13
6,22,5, 1.3148072E-12
6,22,6, 4.4465833E-12
6,22,7, 1.4676779E-11
6,22,8, 4.3523552E-11
6,22,9, 1.3775352E-10
6,22,10, 4.3662088E-10
6,22,11, 1.3829737E-09
6,22,12, 4.3739151E-09
6,22,13, 1.3851115E-08
6,22,14, 4.3868866E-08
6,22,15, 1.3890593E-07
6,22,16, 4.5319198E-07
6,22,17, 1.8746629E-06
6,22,18, 6.2668225E-06
6,22,19, 2.2258259E-05
6,22,20, 5.0122138E-05
6,22,21, 2.8908564E-05
6,22,22, 1.0141888E-04
6,23,3, 6.1962999E-14
6,23,4, 2.8760892E-13
6,23,5, 1.3327274E-12
6,23,6, 5.2823326E-12
6,23,7, 1.7536407E-11
6,23,8, 5.5622274E-11
6,23,9, 1.7120212E-10
6,23,10, 5.4287434E-10
6,23,11, 1.7188558E-09
6,23,12, 5.4358227E-09
6,23,13, 1.7182929E-08
6,23,14, 5.4499395E-08
6,23,15, 1.7268799E-07
6,23,16, 5.6503894E-07
6,23,17, 2.3414102E-06
6,23,18, 7.6589096E-06
6,23,19, 2.1057160E-05
6,23,20, 3.7847348E-05
6,23,21, 3.1197531E-05
6,23,22, 5.1803391E-05
6,23,23, 5.7020852E-05
6,24,3, 5.1486817E-14
6,24,4, 2.3898240E-13
6,24,5, 1.1092559E-12
6,24,6, 5.0561676E-12
6,24,7, 1.7658185E-11
6,24,8, 5.7889205E-11
6,24,9, 1.7742985E-10
6,24,10, 5.6051377E-10
6,24,11, 1.7711162E-09
6,24,12, 5.6001904E-09
6,24,13, 1.7722705E-08
6,24,14, 5.6214700E-08
6,24,15, 1.7796881E-07
6,24,16, 6.0084257E-07
6,24,17, 2.5117349E-06
6,24,18, 8.2001270E-06
6,24,19, 2.1846261E-05
6,24,20, 3.6426955E-05
6,24,21, 2.5969517E-05
6,24,22, 1.1071520E-05
6,24,23,-1.1725086E-04
6,24,24, 3.4273431E-04
6,25,4, 1.6998736E-11
6,25,5, 3.7735119E-11
6,25,6, 1.1220604E-10
6,25,7, 2.6596983E-10
6,25,8, 7.5168050E-10
6,25,9, 1.9640446E-09
6,25,10, 5.4967395E-09
6,25,11, 1.5894120E-08
6,25,12, 4.7128684E-08
6,25,13, 1.4362809E-07
6,25,14, 5.0864952E-07
6,25,15, 1.6123926E-06
6,25,16, 5.5391961E-06
6,25,17, 2.0619913E-05
6,25,18, 7.6515586E-05
6,25,19, 2.2045259E-04
6,25,20, 6.4889535E-04
6,25,21, 1.1106481E-03
6,25,22, 1.3794814E-03
6,25,23, 5.2930639E-04
